Title,description,Poster
Diary of a Wimpy Kid,Greg Heffley is a scrawny but ambitious kid with an active imagination and big plans to be rich and famous Ã¢ÂÂ he just has to survive middle school first.,https://image.tmdb.org/t/p/original/obg6lWuNaZkoSlwrVG4VVk4SmT.jpg
AI Love You,"A modern love story set in the near future where an AI building is powered by human feelings. Due to a software glitch, it falls in love with a real girl, escapes the building into the body of a real man, and tries to win her affections.",https://image.tmdb.org/t/p/original/sBiJOvHCSWORnFpc4yItflIkdTi.jpg
Sonic the Hedgehog 2,"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",https://image.tmdb.org/t/p/original/6DrHO1jr3qVrViUO6s6kFiAGM7.jpg
Erax,Monstrous creatures leap from a magical storybook and unleash mayhem and mischief for Auntie Opal and her tween niece Nina in this spooky short film.,https://image.tmdb.org/t/p/original/rMp04rYhy4yfOfjZq5F9R3wkeqo.jpg
Deathstroke: Knights & Dragons - The Movie,The assassin Deathstroke tries to save his family from the wrath of H.I.V.E. and the murderous Jackal.,https://image.tmdb.org/t/p/original/vFIHbiy55smzi50RmF8LQjmpGcx.jpg
The Last Duel,"King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire, Jacques Le Gris, by challenging him to a duel.",https://image.tmdb.org/t/p/original/zjrJE0fpzPvX8saJXj8VNfcjBoU.jpg
The Pirates: The Last Royal Treasure,"A gutsy crew of Joseon pirates and bandits battle stormy waters, puzzling clues and militant rivals in search of royal gold lost at sea.",https://image.tmdb.org/t/p/original/zAp8FqC4pLfqcsEfuHwQflCWsA5.jpg
Paranormal Activity: Next of Kin,"Margot, a documentary filmmaker, heads to a secluded Amish community in the hopes of learning about her long-lost mother and extended family. Following a string of strange occurrences and discoveries, she comes to realize this community may not be what it seems.",https://image.tmdb.org/t/p/original/bXAVveHiLotZbWdg3PKGhAzxYKP.jpg
House of Gucci,"When Patrizia Reggiani, an outsider from humble beginnings, marries into the Gucci family, her unbridled ambition begins to unravel the family legacy and triggers a reckless spiral of betrayal, decadence, revenge, and ultimatelyÃ¢ÂÂ¦murder.",https://image.tmdb.org/t/p/original/vHla3Ej2m53rNmvmYkzvennLrKn.jpg
Dark Spell,Terror strikes when a heartbroken woman uses black magic to get her husband back.,https://image.tmdb.org/t/p/original/2AbGdSGlU6CpiV3lswHUgE5CdAA.jpg
